Drug,ATC3
d,A12A
d,N05C
d,G03D
d,A12C
d,A07D
d,A05A
d,D11A
d,G03C
d,L02A
d,R01A
d,M03A
d,A11H
d,A14A
d,M05B
d,C02D
d,H03A
d,C08C
Januvia,A12C
Januvia,A10A
Januvia,A01A
Januvia,J01M
Januvia,C03C
Januvia,A10B
Januvia,A12B
Januvia,A06A
Januvia,B05C
Januvia,H04A
Januvia,C02D
Januvia,C10A
Januvia,A12A
Januvia,G04C
Januvia,R05D
Januvia,D07A
Metoprolol Tartrate,J01M
Metoprolol Tartrate,C03C
Metoprolol Tartrate,N01A
Metoprolol Tartrate,A07A
Metoprolol Tartrate,N03A
Metoprolol Tartrate,R06A
Metoprolol Tartrate,C07A
Metoprolol Tartrate,A01A
Metoprolol Tartrate,A06A
Metoprolol Tartrate,A02B
Metoprolol Tartrate,L04A
Metoprolol Tartrate,A07E
Metoprolol Tartrate,A12B
Metoprolol Tartrate,C01B
Metoprolol Tartrate,N02B
Metoprolol Tartrate,D07A
Metoprolol Tartrate,A12C
Metoprolol Tartrate,A10A
Metoprolol Tartrate,C01A
Metoprolol Tartrate,A12A
Metoprolol Tartrate,N06A
Metoprolol Tartrate,C08C
Metoprolol Tartrate,B01A
Nitroglycerin 0.4% Ointment,C03C
Arava,A01A
Arava,A10A
Arava,A07A
Arava,L04A
Arava,C08D
Arava,N06A
Arava,C03C
treprostinil diolamine,N05A
treprostinil diolamine,A11G
treprostinil diolamine,A06A
treprostinil diolamine,A02B
treprostinil diolamine,C03C
treprostinil diolamine,B01A
REVLIMID (Lenalidomide),C03C
Betaseron,A12B
Betaseron,N06A
Betaseron,N05B
Betaseron,C03C
Betaseron,P01B
Bumetanide,C08C
Bumetanide,C03C
Tylenol Arthritis,N03A
Tylenol Arthritis,R01A
Tylenol Arthritis,C03A
Tylenol Arthritis,C03C
Zytiga,A12C
Zytiga,A01A
Zytiga,A12B
Zytiga,R01A
Zytiga,A06A
Zytiga,C01B
Zytiga,B05C
Zytiga,A07A
Zytiga,C03D
Zytiga,C01E
Zytiga,R03A
Zytiga,C02D
Zytiga,N03A
Zytiga,N05B
Zytiga,C03C
PONATinib,A07A
PONATinib,C03C
PONATinib,A07E
PONATinib,A12C
Furosemi,C03C
tadalafil,A12C
tadalafil,A01A
tadalafil,R01A
tadalafil,A06A
tadalafil,J01F
tadalafil,N07A
tadalafil,A07A
tadalafil,M04A
tadalafil,D07A
tadalafil,N02B
tadalafil,C10A
tadalafil,R05D
tadalafil,C03C
tadalafil,A03B
tadalafil,C07A
Aleve,C03C
imatinib,A12C
imatinib,N05A
imatinib,J01M
imatinib,A05A
imatinib,H03A
imatinib,L01X
imatinib,B05C
imatinib,A07A
imatinib,M03B
imatinib,A12A
imatinib,C03C
imatinib,C07A
armodafinil,C03C
Incruse Ellipta,A12C
Incruse Ellipta,A10A
Incruse Ellipta,N02A
Incruse Ellipta,A01A
Incruse Ellipta,A12B
Incruse Ellipta,A06A
Incruse Ellipta,C01B
Incruse Ellipta,C07A
Incruse Ellipta,N02B
Incruse Ellipta,C03C
Incruse Ellipta,V03A
Incruse Ellipta,B01A
ruxolitinib,C03C
ruxolitinib,D04A
ruxolitinib,A07A
ruxolitinib,D06B
ruxolitinib,C07A
ruxolitinib,A01A
ruxolitinib,N02A
ruxolitinib,A06A
ruxolitinib,J01D
ruxolitinib,L04A
ruxolitinib,M04A
ruxolitinib,R03A
ruxolitinib,A07E
ruxolitinib,C01B
ruxolitinib,J01C
ruxolitinib,C03D
ruxolitinib,C01E
ruxolitinib,N02B
ruxolitinib,R05D
ruxolitinib,A12C
ruxolitinib,A10A
ruxolitinib,A07D
ruxolitinib,D11A
ruxolitinib,L01X
ruxolitinib,R01A
ruxolitinib,S01E
ruxolitinib,A12A
ruxolitinib,B01A
Vasotec (enalapril),C03C
apremilast,A12A
apremilast,C03C
Letairis,A06A
Letairis,N02A
Letairis,C03C
Midazolam,R05C
Midazolam,J01M
Midazolam,C03C
Midazolam,N01A
Midazolam,B05C
Midazolam,A07A
Midazolam,C03A
Midazolam,N03A
Midazolam,B03B
Midazolam,J05A
Midazolam,C07A
Midazolam,N07B
Midazolam,N05A
Midazolam,A01A
Midazolam,A06A
Midazolam,A02B
Midazolam,R03A
Midazolam,C01C
Midazolam,A12B
Midazolam,C01B
Midazolam,N02B
Midazolam,N05C
Midazolam,A12C
Midazolam,A10A
Midazolam,R01A
Midazolam,N06A
Midazolam,A12A
sitagliptin,A10B
sitagliptin,D06A
sitagliptin,C10A
sitagliptin,N05B
sitagliptin,C03C
Align,A07D
Align,N02A
Align,A12B
Align,A06A
Align,J01X
Align,N05B
Align,R03A
Align,N02B
Align,H03A
Align,N06A
Align,J05A
Align,C03C
PreserVision AREDS-2,C03D
PreserVision AREDS-2,B05C
PreserVision AREDS-2,D07A
PreserVision AREDS-2,C03C
ibrutinib,B05C
ibrutinib,A07A
ibrutinib,H04A
ibrutinib,R06A
ibrutinib,C07A
ibrutinib,A01A
ibrutinib,N02A
ibrutinib,A06A
ibrutinib,J01D
ibrutinib,A02B
ibrutinib,A02A
ibrutinib,M04A
ibrutinib,J01E
ibrutinib,N05B
ibrutinib,N02B
ibrutinib,R05D
ibrutinib,A12C
ibrutinib,A10A
ibrutinib,A12A
ibrutinib,C03C
ibrutinib,B01A
Fentanyl,J01M
Fentanyl,C03C
Fentanyl,N01A
Fentanyl,B05C
Fentanyl,A07A
Fentanyl,C07A
Fentanyl,N05A
Fentanyl,A01A
Fentanyl,A06A
Fentanyl,A02B
Fentanyl,A02A
Fentanyl,R03A
Fentanyl,N05B
Fentanyl,A07E
Fentanyl,C01B
Fentanyl,N02B
Fentanyl,A04A
Fentanyl,C10A
Fentanyl,R05D
Fentanyl,N05C
Fentanyl,A12C
Fentanyl,A10A
Fentanyl,M03A
Fentanyl,D06A
Fentanyl,N04B
Fentanyl,N06A
Fentanyl,A12A
Fentanyl,B01A
Valtrex,A06A
Valtrex,D10A
Valtrex,D06B
Valtrex,J05A
Valtrex,C03C
torsemide,C03C
Phenylephrine,C03C
Phenylephrine,B05C
Phenylephrine,A07A
Phenylephrine,A03F
Phenylephrine,N05A
Phenylephrine,A01A
Phenylephrine,A06A
Phenylephrine,A02B
Phenylephrine,R03A
Phenylephrine,C01C
Phenylephrine,A12B
Phenylephrine,C01B
Phenylephrine,D10A
Phenylephrine,N02B
Phenylephrine,N05C
Phenylephrine,A12C
Phenylephrine,M03A
Phenylephrine,D06A
Phenylephrine,C02D
Phenylephrine,C08C
Phenylephrine,B01A
vilazodone,A12C
vilazodone,N05A
vilazodone,N02A
vilazodone,A07E
vilazodone,A06A
vilazodone,C03D
vilazodone,A02A
vilazodone,D07A
vilazodone,N02B
vilazodone,N03A
vilazodone,H03A
vilazodone,N06A
vilazodone,C03C
vilazodone,B01A
Procainamide,C01B
Procainamide,C03C
methylphenidate,A06A
methylphenidate,A10A
methylphenidate,N06B
methylphenidate,C03C
AndroGel,H01B
AndroGel,G03B
AndroGel,C03C
AndroGel,A07E
AndroGel,A06A
AndroGel,D04A
AndroGel,A02B
AndroGel,R03A
AndroGel,N02B
AndroGel,A12A
NovoPen 3,C03C
Prolensa (bromfenac) 0.07%,A10A
Prolensa (bromfenac) 0.07%,C03C
Ultrase MT 20,A12C
Ultrase MT 20,A10A
Ultrase MT 20,N02A
Ultrase MT 20,A01A
Ultrase MT 20,A06A
Ultrase MT 20,S01E
Ultrase MT 20,A02B
Ultrase MT 20,C03C
Propofol,A10B
Propofol,J01M
Propofol,C03C
Propofol,N01A
Propofol,B02B
Propofol,B05C
Propofol,D04A
Propofol,A07A
Propofol,C03A
Propofol,H04A
Propofol,N03A
Propofol,B03B
Propofol,V03A
Propofol,C07A
Propofol,N05A
Propofol,A01A
Propofol,N02A
Propofol,M01A
Propofol,A06A
Propofol,A09A
Propofol,J01D
Propofol,A02B
Propofol,A02A
Propofol,R03A
Propofol,G04C
Propofol,N05B
Propofol,C01C
Propofol,A12B
Propofol,N02B
Propofol,A04A
Propofol,C10A
Propofol,N05C
Propofol,A12C
Propofol,A10A
Propofol,D06A
Propofol,C09A
Propofol,C02D
Propofol,N06A
Propofol,A12A
Propofol,B01A
Jakafi,A12C
Jakafi,A01A
Jakafi,N02A
Jakafi,A07D
Jakafi,A07E
Jakafi,A12B
Jakafi,A06A
Jakafi,B05C
Jakafi,D04A
Jakafi,M04A
Jakafi,A12A
Jakafi,C03C
Jakafi,B01A
Furosemid,C03C
edoxaban,N07B
edoxaban,A12C
edoxaban,A10A
edoxaban,A07E
edoxaban,A06A
edoxaban,A12A
edoxaban,C03C
e,C04A
e,R05C
e,C03B
e,H05B
e,R02A
e,N03A
e,D05B
e,V03A
e,G03A
e,N05A
e,M01A
e,S01A
e,S01H
e,V04C
e,G03B
e,A12B
e,R03D
e,C01B
e,A07B
e,G02A
e,B06A
e,G02C
e,N02B
e,H02A
e,R05D
e,D07A
e,A03B
e,G03X
e,A11H
e,D06A
e,H05A
e,C02D
e,N02C
e,C03C
e,B05X
e,B01A
e,A11D
e,B02B
e,R01B
e,R06A
e,M03C
e,P02B
e,C02A
e,C05A
e,A09A
e,J01D
e,S01K
e,A02A
e,D01A
e,N05B
e,A11G
e,N07A
e,P01C
e,A16A
e,L01X
e,A10A
e,D11A
e,N06B
e,L01C
e,H03A
e,N06A
e,A03A
e,A12A
e,D05A
e,C01D
e,B03X
e,J01G
e,B05C
e,B05A
e,D04A
e,C03A
e,N01B
e,J01A
e,C07A
e,N07B
e,P03A
e,J07A
e,R03A
e,S01F
e,L02B
e,N07X
e,P01A
e,N06D
e,A07E
e,A04A
e,C09X
e,H01C
e,N05C
e,A12C
e,R01A
e,M03A
e,A14A
e,M05B
e,G01A
e,A03F
e,J05A
e,A02B
e,L04A
e,C08D
e,M03B
e,J01E
e,C01C
e,P02C
e,N04A
e,C03D
e,C01E
e,C05B
e,D08A
e,G03D
e,P01B
e,L02A
e,A07D
e,G03C
e,B03A
e,N04B
e,C08C
e,M01C
Larotectinib,C03C
guanFACINE (Tenex),G04C
guanFACINE (Tenex),C03C
Genvoya,A10A
Genvoya,N02A
Genvoya,A07E
Genvoya,A06A
Genvoya,B05C
Genvoya,D07A
Genvoya,N02B
Genvoya,H04A
Genvoya,M03B
Genvoya,N06A
Genvoya,C03C
Genvoya,B01A
furose,C03C
m,C04A
m,A11D
m,J04A
m,J01G
m,J01F
m,A07A
m,R02A
m,A03F
m,L03A
m,M03C
m,V03A
m,P03A
m,N02A
m,C02A
m,B02A
m,A02A
m,C08D
m,S01F
m,L02B
m,J01E
m,G04C
m,N05B
m,A07E
m,A12B
m,D10A
m,N07A
m,N02B
m,C10A
m,P01C
m,J06B
m,D07A
m,G03D
m,N05C
m,A12C
m,A10A
m,A07D
m,D11A
m,L01X
m,B05X
m,R01A
m,M03A
m,N06B
m,D06A
m,M05B
m,N02C
m,H03A
m,G01A
m,A03A
m,C03C
m,D05A
m,M01C
Sotalol 120mg,C03C
Exjade,A12C
Exjade,N05A
Exjade,A06A
Exjade,C03C
Exjade,V03A
prednisoLONE acetate ,C03C
Furosemide 20mg/2mL 2mL VIAL,J01M
Furosemide 20mg/2mL 2mL VIAL,C03C
Furosemide 20mg/2mL 2mL VIAL,A02B
Furosemide 20mg/2mL 2mL VIAL,N03A
Furosemide 20mg/2mL 2mL VIAL,A12A
selexipag,A02A
selexipag,C03C
selexipag,B01A
Potassium Chloride,C03C
Potassium Chloride,B05C
Potassium Chloride,N03A
Potassium Chloride,B03B
Potassium Chloride,C07A
Potassium Chloride,N05A
Potassium Chloride,A01A
Potassium Chloride,A06A
Potassium Chloride,J01D
Potassium Chloride,A02B
Potassium Chloride,C01C
Potassium Chloride,A12B
Potassium Chloride,C01B
Potassium Chloride,N02B
Potassium Chloride,A04A
Potassium Chloride,A12C
Potassium Chloride,A10A
Potassium Chloride,C02D
Potassium Chloride,N06A
Potassium Chloride,A12A
Potassium Chloride,B01A
memantine,N02B
memantine,C03C
memantine,B01A
Nexium,J01M
Nexium,A07A
Nexium,H04A
Nexium,N03A
Nexium,C07A
Nexium,A01A
Nexium,N02A
Nexium,A06A
Nexium,A02B
Nexium,A02A
Nexium,R03A
Nexium,N05B
Nexium,C09C
Nexium,P01A
Nexium,A12B
Nexium,N02B
Nexium,A04A
Nexium,C10A
Nexium,A12C
Nexium,A10A
Nexium,B03A
Nexium,H03A
Nexium,N06A
Nexium,C03C
Sodium Bicarbonate,A12C
Sodium Bicarbonate,A10A
Sodium Bicarbonate,N05A
Sodium Bicarbonate,C01C
Sodium Bicarbonate,A12B
Sodium Bicarbonate,A06A
Sodium Bicarbonate,B05C
Sodium Bicarbonate,A02B
Sodium Bicarbonate,A07A
Sodium Bicarbonate,C08C
Sodium Bicarbonate,N02B
Sodium Bicarbonate,N05C
Sodium Bicarbonate,A12A
Sodium Bicarbonate,C03C
Sodium Bicarbonate,A03B
Sodium Bicarbonate,B01A
mycophenolate mofetil,C03C
mycophenolate mofetil,B01A
irbesartan ,D11A
irbesartan ,C03C
Calcium Gluconate,N05A
Calcium Gluconate,A01A
Calcium Gluconate,C01C
Calcium Gluconate,A12B
Calcium Gluconate,A06A
Calcium Gluconate,B05C
Calcium Gluconate,J01D
Calcium Gluconate,A07A
Calcium Gluconate,C09A
Calcium Gluconate,C07A
Calcium Gluconate,N02B
Calcium Gluconate,C10A
Calcium Gluconate,N03A
Calcium Gluconate,A12A
Calcium Gluconate,C03C
Calcium Gluconate,B01A
Capecitabine,L01B
Capecitabine,C03C
Capecitabine,B02B
Capecitabine,A02A
Capecitabine,A12A
Capecitabine,A03B
Capecitabine,C07A
Travatan Z,A10A
Travatan Z,H03A
Travatan Z,C03B
Travatan Z,A12B
Travatan Z,R01A
Travatan Z,A06A
Travatan Z,B05C
Travatan Z,S01E
Travatan Z,C07A
Travatan Z,N02B
Travatan Z,A04A
Travatan Z,H04A
Travatan Z,C02D
Travatan Z,A12A
Travatan Z,C03C
Travatan Z,B01A
F,L01B
F,C03C
F,C08C
F,B03A
F,H05A
F,L03A
F,H02A
F,D01A
F,B03B
F,D07A
Rivaroxaban,A02A
Rivaroxaban,C03C
Rivaroxaban,B01A
Dasatinib,L01X
Dasatinib,D11A
Dasatinib,A07E
Dasatinib,A06A
Dasatinib,J01C
Dasatinib,J01D
Dasatinib,A02B
Dasatinib,A07A
Dasatinib,C09A
Dasatinib,C08C
Dasatinib,D07A
Dasatinib,N02B
Dasatinib,N03A
Dasatinib,A12A
Dasatinib,C03C
Dasatinib,C07A
Lidocaine 2%,A06A
Lidocaine 2%,C01B
Lidocaine 2%,N01A
Lidocaine 2%,B05C
Lidocaine 2%,N05B
Lidocaine 2%,C03C
Sovaldi,A02B
Sovaldi,J05A
Sovaldi,C03C
Edecrin,C03C
r,J01M
r,N01A
r,R02A
r,D05B
r,V03A
r,G03A
r,N05A
r,A01A
r,M01A
r,S01A
r,S01H
r,C02C
r,G03B
r,A12B
r,A07B
r,B06A
r,G02A
r,G02C
r,H02A
r,D07A
r,A03B
r,G03X
r,A11H
r,H05A
r,C02D
r,N02C
r,L03A
r,C03C
r,B01A
r,R01B
r,R06A
r,M03C
r,P02B
r,N02A
r,C02A
r,B02A
r,A09A
r,J01D
r,S01K
r,A02A
r,N05B
r,A11G
r,H03B
r,J01X
r,L01D
r,A16A
r,L01X
r,A10A
r,D11A
r,H03A
r,N06A
r,A12A
r,D05A
r,C01D
r,B03X
r,J01G
r,B05C
r,D04A
r,C03A
r,D06B
r,C07A
r,P03A
r,J07A
r,R03A
r,S01F
r,L02B
r,N07X
r,C09C
r,A11C
r,L01B
r,A04A
r,C09X
r,H01C
r,N05C
r,A12C
r,R01A
r,M03A
r,A14A
r,S01E
r,M05B
r,G01A
r,J01F
r,A03F
r,J05A
r,A02B
r,L04A
r,M04A
r,C08D
r,J01E
r,C01C
r,N04A
r,C03D
r,C01E
r,C05B
r,D08A
r,G03D
r,L02A
r,A07D
r,A05A
r,G03C
r,C09A
r,B03A
r,N04B
Herb-Lax,C03C
Linzess 145mcg,C03C
Ethacrynic Acid,C03C
PreserVision AREDS 2,A12C
PreserVision AREDS 2,A12B
PreserVision AREDS 2,A06A
PreserVision AREDS 2,B05C
PreserVision AREDS 2,C03C
Plaquenil,C09A
Plaquenil,C03C
sodium chloride,A12C
sodium chloride,A06A
sodium chloride,C01E
sodium chloride,N02B
sodium chloride,C03C
Torsemide ,C03C
Imatinib,L01X
Imatinib,C01C
Imatinib,A02B
Imatinib,H04A
Imatinib,C02D
Imatinib,C03C
Insulin Pump,R05C
Insulin Pump,A10B
Insulin Pump,H03A
Insulin Pump,J01G
Insulin Pump,B05C
Insulin Pump,J01F
Insulin Pump,D04A
Insulin Pump,A07A
Insulin Pump,C03A
Insulin Pump,A03F
Insulin Pump,H04A
Insulin Pump,H05B
Insulin Pump,N03A
Insulin Pump,B03B
Insulin Pump,J05A
Insulin Pump,C07A
Insulin Pump,N05A
Insulin Pump,A01A
Insulin Pump,N02A
Insulin Pump,M01A
Insulin Pump,A06A
Insulin Pump,C05A
Insulin Pump,J01D
Insulin Pump,A02B
Insulin Pump,L04A
Insulin Pump,A02A
Insulin Pump,J01E
Insulin Pump,N05B
Insulin Pump,C09C
Insulin Pump,C01C
Insulin Pump,A07E
Insulin Pump,A12B
Insulin Pump,J01C
Insulin Pump,D10A
Insulin Pump,C08C
Insulin Pump,C01E
Insulin Pump,N02B
Insulin Pump,A04A
Insulin Pump,C10A
Insulin Pump,R05D
Insulin Pump,A12C
Insulin Pump,A10A
Insulin Pump,D11A
Insulin Pump,C09A
Insulin Pump,A12A
Insulin Pump,N06A
Insulin Pump,G04B
Insulin Pump,C03C
Insulin Pump,B01A
dasatinib,L01X
dasatinib,C03C
Tylenol 8 Hour,N05B
Tylenol 8 Hour,A06A
Tylenol 8 Hour,N02B
Tylenol 8 Hour,C03C
Febuxostat,M04A
Febuxostat,C09C
Febuxostat,C03C
Zirgan(ganciclovir),C03C
Byetta,A10B
Byetta,B05C
Byetta,A07A
Byetta,H04A
Byetta,C07A
Byetta,A01A
Byetta,A06A
Byetta,L04A
Byetta,A02A
Byetta,M04A
Byetta,N05B
Byetta,C09C
Byetta,C01C
Byetta,A07E
Byetta,A12B
Byetta,C01B
Byetta,C03D
Byetta,N02B
Byetta,C10A
Byetta,A12C
Byetta,A10A
Byetta,R01A
Byetta,C09A
Byetta,N06A
Byetta,C03C
Byetta,B01A
LaSIX,C03C
s,R05C
s,B03X
s,B05C
s,B05A
s,R01B
s,L03A
s,V03A
s,M02A
s,A01A
s,A06A
s,J07A
s,L01A
s,C02C
s,G04C
s,C09C
s,P01A
s,A07E
s,A12B
s,N04A
s,B06A
s,N07A
s,A04A
s,C05B
s,C10A
s,H02A
s,D08A
s,C09X
s,D07A
s,G03D
s,A10A
s,A05A
s,G03C
s,B05X
s,S01E
